adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm1_ref_n,center_lat,center_lon,state_name,pidgin_speakers_estimate,pidgin_concentration_percent,geopolitical_zone,zone_code,financially_included_percent,have_bank_account_percent,have_mobile_money_percent,population_estimate
Abia,,,,NG001,Nigeria,,,,NG,2019-04-17,,4859.5031378,v01,en,,,,Abia,5.4318197,7.48834209,Abia,1700000.0,70.0,South East,SE,58.0,44.0,50.0,18200000.0
Adamawa,,,,NG002,Nigeria,,,,NG,2019-04-17,,37821.67384115,v01,en,,,,Adamawa,9.16264721,12.29156214,Adamawa,1200000.0,40.0,North East,NE,38.0,22.0,32.0,16400000.0
Akwa Ibom,,,,NG003,Nigeria,,,,NG,2019-04-17,,6739.35599187,v01,en,,,,Akwa Ibom,4.99046998,7.79556856,Akwa Ibom,1600000.0,62.0,South South,SS,62.0,48.0,55.0,19800000.0
Anambra,,,,NG004,Nigeria,,,,NG,2019-04-17,,4805.51948205,v01,en,,,,Anambra,6.24852922,6.93787344,Anambra,2800000.0,75.0,South East,SE,58.0,44.0,50.0,18200000.0
Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,48516.71333167,v01,en,,,,Bauchi,10.99789406,9.32581684,Bauchi,1400000.0,38.0,North East,NE,38.0,22.0,32.0,16400000.0
Bayelsa,,,,NG006,Nigeria,,,,NG,2019-04-17,,9529.01652884,v01,en,,,,Bayelsa,4.82682444,5.95113698,Bayelsa,1200000.0,90.0,South South,SS,62.0,48.0,55.0,19800000.0
Benue,,,,NG007,Nigeria,,,,NG,2019-04-17,,31483.33707929,v01,en,,,,Benue,7.30093776,8.81239488,Benue,1100000.0,48.0,North Central,NC,48.0,35.0,40.0,20100000.0
Borno,,,,NG008,Nigeria,,,,NG,2019-04-17,,72156.59676265,v01,en,,,,Borno,11.87007266,13.42762271,Borno,1600000.0,35.0,North East,NE,38.0,22.0,32.0,16400000.0
Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,20954.92592456,v01,en,,,,Cross River,5.79132581,8.40344688,Cross River,1100000.0,60.0,South South,SS,62.0,48.0,55.0,19800000.0
Delta,,,,NG010,Nigeria,,,,NG,2019-04-17,,17076.8408191,v01,en,,,,Delta,5.75655603,5.4996657,Delta,3400000.0,82.0,South South,SS,62.0,48.0,55.0,19800000.0
Ebonyi,,,,NG011,Nigeria,,,,NG,2019-04-17,,6339.61440584,v01,en,,,,Ebonyi,6.23982574,8.06674107,Ebonyi,1200000.0,68.0,South East,SE,58.0,44.0,50.0,18200000.0
Edo,,,,NG012,Nigeria,,,,NG,2019-04-17,,19514.4371181,v01,en,,,,Edo,6.66544973,5.87367869,Edo,1800000.0,70.0,South South,SS,62.0,48.0,55.0,19800000.0
Ekiti,,,,NG013,Nigeria,,,,NG,2019-04-17,,5754.11514345,v01,en,,,,Ekiti,7.69515763,5.29793374,Ekiti,900000.0,52.0,South West,SW,65.0,52.0,58.0,22300000.0
Enugu,,,,NG014,Nigeria,,,,NG,2019-04-17,,7636.12316811,v01,en,,,,Enugu,6.51980617,7.3927576,Enugu,1900000.0,72.0,South East,SE,58.0,44.0,50.0,18200000.0
Federal Capital Territory,,,,NG015,Nigeria,,,,NG,2019-04-17,,7386.67860722,v01,en,,,,Federal Capital Territory,9.01307211,7.19102386,Federal Capital Territory,1500000.0,55.0,North Central,NC,48.0,35.0,40.0,20100000.0
Gombe,,,,NG016,Nigeria,,,,NG,2019-04-17,,17426.64638025,v01,en,,,,Gombe,10.43059432,11.22469465,Gombe,900000.0,42.0,North East,NE,38.0,22.0,32.0,16400000.0
Imo,,,,NG017,Nigeria,,,,NG,2019-04-17,,5073.67659941,v01,en,,,,Imo,5.5657289,7.03320539,Imo,2400000.0,78.0,South East,SE,58.0,44.0,50.0,18200000.0
Jigawa,,,,NG018,Nigeria,,,,NG,2019-04-17,,23216.18696247,v01,en,,,,Jigawa,11.98106476,9.62485264,Jigawa,1200000.0,33.0,North West,NW,42.0,28.0,35.0,18200000.0
Kaduna,,,,NG019,Nigeria,,,,NG,2019-04-17,,44155.31142647,v01,en,,,,Kaduna,10.25720513,7.85940338,Kaduna,2100000.0,45.0,North Central,NC,48.0,35.0,40.0,20100000.0
Kano,,,,NG020,Nigeria,,,,NG,2019-04-17,,20324.55391179,v01,en,,,,Kano,11.57313499,8.54338831,Kano,2500000.0,35.0,North West,NW,42.0,28.0,35.0,18200000.0
Katsina,,,,NG021,Nigeria,,,,NG,2019-04-17,,23962.63636324,v01,en,,,,Katsina,12.23621058,7.50026125,Katsina,1800000.0,32.0,North West,NW,42.0,28.0,35.0,18200000.0
Kebbi,,,,NG022,Nigeria,,,,NG,2019-04-17,,36596.59128277,v01,en,,,,Kebbi,11.6907569,3.96605118,Kebbi,950000.0,30.0,North West,NW,42.0,28.0,35.0,18200000.0
Kogi,,,,NG023,Nigeria,,,,NG,2019-04-17,,28899.46523606,v01,en,,,,Kogi,7.63635849,6.84924514,Kogi,1200000.0,42.0,North Central,NC,48.0,35.0,40.0,20100000.0
Kwara,,,,NG024,Nigeria,,,,NG,2019-04-17,,33643.67050603,v01,en,,,,Kwara,9.09345717,4.56687366,Kwara,900000.0,35.0,North Central,NC,48.0,35.0,40.0,20100000.0
Lagos,,,,NG025,Nigeria,,,,NG,2019-04-17,,3671.4771864,v01,en,,,,Lagos,6.53464338,3.71156913,Lagos,8500000.0,85.0,South West,SW,65.0,52.0,58.0,22300000.0
Nasarawa,,,,NG026,Nigeria,,,,NG,2019-04-17,,26763.893907,v01,en,,,,Nasarawa,8.58919758,8.21097491,Nasarawa,,,,,,,,
Niger,,,,NG027,Nigeria,,,,NG,2019-04-17,,71934.48376138,v01,en,,,,Niger,9.77359772,5.71138755,Niger,1000000.0,40.0,North Central,NC,48.0,35.0,40.0,20100000.0
Ogun,,,,NG028,Nigeria,,,,NG,2019-04-17,,16667.91412366,v01,en,,,,Ogun,7.12735964,3.26276474,Ogun,2100000.0,68.0,South West,SW,65.0,52.0,58.0,22300000.0
Ondo,,,,NG029,Nigeria,,,,NG,2019-04-17,,15075.83265156,v01,en,,,,Ondo,6.82406438,4.86944096,Ondo,1800000.0,65.0,South West,SW,65.0,52.0,58.0,22300000.0
Osun,,,,NG030,Nigeria,,,,NG,2019-04-17,,8598.8070465,v01,en,,,,Osun,7.53809077,4.52109776,Osun,1500000.0,58.0,South West,SW,65.0,52.0,58.0,22300000.0
Oyo,,,,NG031,Nigeria,,,,NG,2019-04-17,,27603.41955157,v01,en,,,,Oyo,8.13543471,3.61297643,Oyo,4200000.0,72.0,South West,SW,65.0,52.0,58.0,22300000.0
Plateau,,,,NG032,Nigeria,,,,NG,2019-04-17,,26506.67085604,v01,en,,,,Plateau,9.38019584,9.62821921,Plateau,1300000.0,50.0,North Central,NC,48.0,35.0,40.0,20100000.0
Rivers,,,,NG033,Nigeria,,,,NG,2019-04-17,,10183.26252459,v01,en,,,,Rivers,5.02334308,6.83575221,Rivers,5200000.0,88.0,South South,SS,62.0,48.0,55.0,19800000.0
Sokoto,,,,NG034,Nigeria,,,,NG,2019-04-17,,32153.05162143,v01,en,,,,Sokoto,12.73947746,5.23696953,Sokoto,1100000.0,28.0,North West,NW,42.0,28.0,35.0,18200000.0
Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,58545.65721308,v01,en,,,,Taraba,8.05858468,10.38634028,Taraba,1100000.0,45.0,North East,NE,38.0,22.0,32.0,16400000.0
Yobe,,,,NG036,Nigeria,,,,NG,2019-04-17,,44843.51521469,v01,en,,,,Yobe,11.97362526,11.52417778,Yobe,1000000.0,38.0,North East,NE,38.0,22.0,32.0,16400000.0
Zamfara,,,,NG037,Nigeria,,,,NG,2019-04-17,,33511.58920746,v01,en,,,,Zamfara,12.01302112,6.05100285,Zamfara,800000.0,25.0,North West,NW,42.0,28.0,35.0,18200000.0
